,name,company,year,Price,kms_driven,fuel_type
57,i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol
58,Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel
59,Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol
60,Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol
61,Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel
62,3 Series 320i,BMW,2011,600000.0,60500.0,Petrol
63,Suzuki A Star Lxi,Maruti,2011,189500.0,12500.0,Petrol
64,Etios GD,Toyota,2013,350000.0,60000.0,Diesel
65,Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel
66,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000.0,Petrol
67,Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel
68,7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol
69,XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel
70,i10 Magna 1.2,Hyundai,2014,265000.0,18000.0,Petrol
71,Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel
72,Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol
73,Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000.0,Petrol
74,EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000.0,Diesel
75,Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000.0,Petrol
76,Suzuki Ertiga VDi,Maruti,2013,485000.0,42000.0,Diesel
77,Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000.0,Petrol
78,Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000.0,Diesel
79,Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000.0,Petrol
80,i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel
81,Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel
82,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol
83,Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol
84,Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol
85,Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol
86,Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel
87,Suzuki Dzire VDI,Maruti,2015,450000.0,104000.0,Diesel
88,Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol
89,i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333.0,Diesel
90,Spark,Chevrolet,2012,158400.0,33600.0,Petrol
91,Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600.0,Petrol
92,Micra XV,Nissan,2011,179000.0,41000.0,Petrol
93,Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol
94,Suzuki Alto 800,Maruti,2018,200000.0,7500.0,Petrol
95,Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000.0,Diesel
96,Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000.0,Petrol
97,Beat,Chevrolet,2015,150000.0,30000.0,Petrol
98,City 1.5 V MT,Honda,2010,285000.0,35000.0,Petrol
99,EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330.0,Diesel
100,i20 Asta 1.2,Hyundai,2009,210000.0,65480.0,Petrol
101,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000.0,Petrol
102,Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000.0,Petrol
103,Corolla Altis 1.8 J,Toyota,2012,349999.0,59000.0,Petrol
104,Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel
105,Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel
106,Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800.0,Petrol
107,Polo,Volkswagen,2014,274999.0,32000.0,Petrol
108,Scorpio,Mahindra,2015,984999.0,22000.0,Diesel
109,Sunny,Nissan,2012,224999.0,45000.0,Petrol
110,Elite i20,Hyundai,2018,599999.0,21000.0,Petrol
111,Kwid,Renault,2016,244999.0,11000.0,Petrol
112,Duster,Renault,2013,399999.0,41000.0,Diesel
113,Duster,Renault,2014,474999.0,50000.0,Diesel
114,Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel
115,Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000.0,Petrol
116,Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol
117,Suzuki Swift RS VDI,Maruti,2010,189500.0,38500.0,Diesel
118,Punto Emotion 1.2,Fiat,2012,169500.0,37200.0,Diesel
119,Suzuki Swift RS VDI,Maruti,2010,159500.0,43200.0,Diesel
120,Etios GD,Toyota,2013,275000.0,24800.0,Petrol
121,i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000.0,Diesel
122,i10 Sportz 1.2,Hyundai,2010,168000.0,45872.0,Petrol
123,Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel
124,Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel
125,Corolla Altis 1.8 J,Toyota,2015,575000.0,42000.0,Petrol
126,City 1.5 V MT,Honda,2014,549000.0,39000.0,Petrol
127,Suzuki Swift VDi,Maruti,2011,209000.0,47000.0,Diesel
128,Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol
129,Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel
130,XUV500,Mahindra,2014,699999.0,52000.0,Diesel
131,Fiesta,Ford,2011,274999.0,55000.0,Diesel
132,City,Honda,2015,599999.0,30000.0,Diesel
133,Suzuki Wagon R,Maruti,2012,199999.0,44000.0,Petrol
134,City,Honda,2014,544999.0,45000.0,Diesel
135,i20,Hyundai,2009,199000.0,31000.0,Petrol
136,Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel
137,Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel
138,Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
139,Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350.0,Petrol
140,Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol
141,Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel
142,Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel
143,Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel
144,Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000.0,Petrol
145,Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,35000.0,Petrol
146,Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000.0,Petrol
147,Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000.0,Petrol
148,Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000.0,Petrol
149,Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel
150,Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870.0,Petrol
151,Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580.0,Petrol
152,Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel
153,Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel
154,Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol
155,i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol
156,Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
157,Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel
158,Motors  One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel
159,Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel
160,Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol
161,Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel
162,Etios,Toyota,2011,275000.0,36000.0,Diesel
163,Polo,Volkswagen,2015,330000.0,38000.0,Diesel
164,City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol
165,City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel
166,Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel
167,A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol
168,Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000.0,Diesel
169,Rover Freelander 2 SE,Land,2015,2100000.0,30000.0,Diesel
170,Kwid RXT,Renault,2017,340000.0,5000.0,Petrol
171,Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel
172,Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000.0,Petrol
173,GO T O,Datsun,2016,245000.0,7000.0,Petrol
174,Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400.0,Diesel
175,Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol
176,Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000.0,Petrol
177,City,Honda,2012,399999.0,45000.0,Petrol
178,City,Honda,2015,599999.0,39000.0,Diesel
179,Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
180,i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000.0,Diesel
181,Cooper S,Mini,2013,1891111.0,13000.0,Petrol
182,Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000.0,Petrol
183,Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
184,Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol
185,Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel
186,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300.0,Petrol
187,Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel
188,Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000.0,Petrol
189,Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel
190,Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel
191,Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel
192,Suzuki Dzire ZXI,Maruti,2013,380000.0,30000.0,Petrol
193,Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol
194,Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000.0,Petrol
195,Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel
196,Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol
197,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000.0,Petrol
198,Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol
199,Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol
200,EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000.0,Diesel
201,TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel
202,Indica V2 Xeta e GLE,Tata,2008,150000.0,11000.0,Petrol
203,Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160000.0,Diesel
204,Accord,Honda,2009,175000.0,58559.0,Petrol
205,EcoSport Titanium 1.5 TDCi,Ford,2014,520000.0,57000.0,Diesel
206,Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel
207,Amaze,Honda,2014,299999.0,37000.0,Petrol
208,Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol
209,City,Honda,2011,284999.0,55000.0,Petrol
210,Scorpio 2.6 CRDe,Mahindra,2007,220000.0,170000.0,Diesel
211,Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel
212,City,Honda,2015,644999.0,39000.0,Petrol
213,Mobilio,Honda,2014,399999.0,44000.0,Petrol
214,Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol
215,City,Honda,2014,584999.0,39000.0,Petrol
216,Laura,Skoda,2012,349999.0,44000.0,Diesel
217,Duster,Renault,2015,449999.0,49000.0,Diesel
218,Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel
219,Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel
220,XUV500,Mahindra,2014,649999.0,47000.0,Diesel
221,Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel
222,Suzuki Vitara Brezza,Maruti,2016,689999.0,29000.0,Diesel
223,Suzuki Wagon R,Maruti,2016,344999.0,15000.0,Petrol
224,Scorpio,Mahindra,2015,944999.0,45000.0,Diesel
225,Amaze,Honda,2014,274999.0,35000.0,Petrol
226,XUV500,Mahindra,2013,689999.0,80000.0,Diesel
227,Scorpio,Mahindra,2013,574999.0,68000.0,Diesel
228,Laura,Skoda,2013,374999.0,50000.0,Diesel
229,Polo,Volkswagen,2010,199999.0,60000.0,Diesel
230,Elite i20,Hyundai,2016,549999.0,9000.0,Petrol
231,Manza Aura Quadrajet,Tata,2012,130000.0,72000.0,Diesel
232,Sail UVA Petrol LT ABS,Chevrolet,2013,210000.0,60000.0,Petrol
233,Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000.0,45000.0,Diesel
234,A4 2.0 TDI 177bhp Premium,Audi,2012,1350000.0,40000.0,Diesel
235,Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol
236,Scorpio VLX 4WD Airbag,Mahindra,2013,610000.0,35000.0,Diesel
237,KUV100 K8 D 6 STR,Mahindra,2016,400000.0,20000.0,Diesel
238,Grand i10,Hyundai,2017,524999.0,6821.0,Petrol
239,i20,Hyundai,2014,449999.0,23000.0,Petrol
240,Eon,Hyundai,2014,174999.0,14000.0,Petrol
241,i10,Hyundai,2012,244999.0,38000.0,Petrol
242,i20 Active,Hyundai,2015,574999.0,35000.0,Diesel
243,Redi GO,Datsun,2017,244999.0,22000.0,Petrol
244,Etios Liva,Toyota,2011,239999.0,41000.0,Petrol
245,Verna,Hyundai,2014,489999.0,44000.0,Diesel
246,Suzuki Swift,Maruti,2013,324999.0,45000.0,Diesel
247,Fortuner,Toyota,2011,1074999.0,52000.0,Diesel
248,i10 Sportz,Hyundai,2012,230000.0,34000.0,Petrol
249,Bolero Power Plus SLE,Mahindra,2018,699000.0,1800.0,Diesel
250,XUV500,Mahindra,2015,1000000.0,15000.0,Diesel
251,City 1.5 V MT Exclusive,Honda,2010,240000.0,400000.0,Petrol
252,Spark LT 1.0 Airbag,Chevrolet,2009,110000.0,44000.0,Petrol
253,XUV500,Mahindra,2016,1130000.0,72000.0,Diesel
254,Indigo eCS VX CR4 BS IV,Tata,2014,250000.0,40000.0,Diesel
255,Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000.0,48000.0,Diesel
256,Vista Quadrajet VX,Tata,2011,120000.0,90000.0,Diesel
257,Suzuki Alto K10 VXi AT,Maruti,2015,265000.0,12000.0,Petrol
258,i10 Magna 1.2,Hyundai,2011,175000.0,45000.0,Petrol
259,Suzuki Swift Dzire Tour LDi,Maruti,2016,350000.0,166000.0,Diesel
260,City ZX EXi,Honda,2008,149000.0,42000.0,Petrol
261,Beat Diesel,Chevrolet,2017,150000.0,62000.0,Diesel
262,City 1.5 S MT,Honda,2010,225000.0,70000.0,Petrol
263,Verna 1.4 VTVT,Hyundai,2014,375000.0,36000.0,Petrol
264,Suzuki Swift,Maruti,2014,335000.0,55000.0,Diesel
265,Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000.0,20000.0,Diesel
266,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000.0,40000.0,Petrol
267,Indigo LX TDI BS III,Tata,2016,130000.0,104000.0,Diesel
268,Vento Konekt Diesel Highline,Volkswagen,2011,245000.0,65000.0,Diesel
269,Benz C Class 200 CDI Classic,Mercedes,2002,399000.0,41000.0,Petrol
270,Suzuki Ertiga VDi,Maruti,2013,450000.0,90000.0,Diesel
271,Sonata Transform 2.4 GDi MT,Hyundai,2017,190000.0,36469.0,Diesel
272,Elite i20 Sportz 1.2,Hyundai,2018,600000.0,7800.0,Petrol
273,Suzuki Alto 800 Lxi,Maruti,2017,240000.0,60000.0,Petrol
274,Suzuki Alto LXi BS III,Maruti,2011,155000.0,32000.0,Petrol
275,Jazz S MT,Honda,2009,169999.0,24695.0,Petrol
276,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000.0,15141.0,Petrol
277,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000.0,65000.0,Diesel
278,Suzuki Alto K10 VXi,Maruti,2014,270000.0,22000.0,Petrol
279,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000.0,59910.0,Diesel
280,XUV500 W8,Mahindra,2012,560000.0,100000.0,Diesel
281,Creta 1.6 SX Plus Petrol,Hyundai,2016,950000.0,25000.0,Petrol
282,i20 Magna O 1.2,Hyundai,2013,310000.0,35000.0,Petrol
283,Duster 85 PS RxL Explore LE,Renault,2015,715000.0,65000.0,Diesel
284,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000.0,35000.0,Petrol
285,Brio V MT,Honda,2012,235000.0,33000.0,Petrol
286,TUV300 T4 Plus,Mahindra,2017,610000.0,68000.0,Diesel
287,TUV300 T8,Mahindra,2018,1000000.0,4500.0,Diesel
288,Suzuki Swift Dzire Tour LDi,Maruti,2015,220000.0,129000.0,Diesel
289,Suzuki Alto 800 Vxi,Maruti,2015,230000.0,5000.0,Petrol
290,Fortuner 3.0 4x4 MT,Toyota,2010,940000.0,131000.0,Diesel
291,Manza ELAN Quadrajet,Tata,2010,155555.0,111111.0,Petrol
292,Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000.0,14000.0,Petrol
293,Beat LS Diesel,Chevrolet,2016,210000.0,22000.0,Diesel
294,EcoSport Trend 1.5L TDCi,Ford,2013,495000.0,38000.0,Diesel
295,Indigo LS,Tata,2016,125000.0,70000.0,Diesel
296,i20 Magna 1.2,Hyundai,2010,195000.0,36000.0,Petrol
297,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000.0,34000.0,Diesel
298,Kwid RXT,Renault,2015,270000.0,43000.0,Petrol
299,EcoSport Titanium 1.5L TDCi,Ford,2014,500000.0,40000.0,Diesel
300,Amaze 1.5 E i DTEC,Honda,2016,240000.0,160000.0,Diesel
301,Verna 1.6 EX VTVT,Hyundai,2017,800000.0,12000.0,Petrol
302,5 Series 520d Sedan,BMW,2011,1299000.0,49000.0,Diesel
303,Superb 1.8 TFSI AT,Skoda,2011,530000.0,68000.0,Petrol
304,Q3 2.0 TDI quattro Premium,Audi,2013,1499000.0,37000.0,Diesel
305,Bolero DI BSII,Mahindra,2012,220000.0,59466.0,Diesel
306,Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000.0,99000.0,Diesel
307,Suzuki Wagon R VXI BS IV,Maruti,2018,395000.0,25500.0,Petrol
308,Logan Diesel 1.5 DLS,Mahindra,2009,130000.0,66000.0,Petrol
309,TUV300 T4 Plus,Mahindra,2016,540000.0,35000.0,Diesel
310,Elite i20 Magna 1.2,Hyundai,2015,405000.0,28000.0,Petrol
311,Elite i20 Magna 1.2,Hyundai,2015,400000.0,30000.0,Petrol
312,City SV,Honda,2017,760000.0,4000.0,Petrol
313,Suzuki Baleno Delta 1.2,Maruti,2016,500000.0,28000.0,Petrol
314,Figo Petrol LXI,Ford,2011,175000.0,75000.0,Petrol
315,City,Honda,2017,750000.0,3000.0,Petrol
316,Elite i20 Magna 1.2,Hyundai,2015,419000.0,20000.0,Petrol
317,Eon Era Plus,Hyundai,2018,140000.0,2110.0,Petrol
318,Pajero Sport Limited Edition,Mitsubishi,2015,1540000.0,43222.0,Petrol
319,i10 Magna 1.2 Kappa2,Hyundai,2008,275000.0,100200.0,Petrol
320,Corolla H2,Toyota,2003,150000.0,100000.0,Petrol
321,Indigo CS eLS BS IV,Tata,2015,123000.0,100000.0,Diesel
322,Xcent Base 1.1 CRDi,Hyundai,2016,300000.0,140000.0,Diesel
323,Accent Executive Edition,Hyundai,2009,165000.0,48000.0,Petrol
324,Suzuki Baleno Delta 1.2,Maruti,2016,498000.0,22000.0,Petrol
325,Zest XE 75 PS Diesel,Tata,2018,480000.0,103553.0,Diesel
326,Suzuki Dzire LDI,Maruti,2017,488000.0,80000.0,Diesel
327,Sumo Gold LX BS IV,Tata,2014,250000.0,99000.0,Diesel
328,Corolla Altis GL Petrol,Toyota,2010,220000.0,58000.0,Petrol
329,Suzuki Eeco 7 STR,Maruti,2013,290000.0,70000.0,LPG
330,Fortuner 3.0 4x2 MT,Toyota,2015,1525000.0,120000.0,Diesel
331,XUV500 W6,Mahindra,2013,548900.0,49800.0,Diesel
332,Suzuki Ertiga Vxi,Maruti,2015,550000.0,75000.0,Petrol
333,Mobilio S i DTEC,Honda,2014,399000.0,44000.0,Diesel
334,Suzuki Ertiga,Maruti,2016,730000.0,55000.0,Diesel
335,Suzuki Vitara Brezza,Maruti,2017,725000.0,36000.0,Diesel
336,Verna 1.6 CRDI E,Hyundai,2016,195000.0,56000.0,Diesel
337,Suzuki Swift VXI BSIII,Maruti,2007,130000.0,62000.0,Petrol
338,Suzuki Omni Select Variant,Maruti,2014,190000.0,6020.0,Petrol
339,Amaze,Honda,2013,250000.0,55700.0,Diesel
340,Santro Xing,Hyundai,2003,120000.0,50000.0,Petrol
341,Suzuki Zen Estilo,Maruti,2010,149000.0,35000.0,Petrol
342,Suzuki Wagon R LXI BS IV,Maruti,2014,250000.0,18500.0,Petrol
343,Suzuki Wagon R,Maruti,2007,120000.0,7000.0,Petrol
344,Brio VX AT,Honda,2017,450000.0,11000.0,Petrol
345,Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000.0,23000.0,Petrol
346,Suzuki Wagon R Select Variant,Maruti,2016,225000.0,35500.0,Diesel
347,Kwid RXT,Renault,2019,370000.0,1000.0,Petrol
348,XE XE Portfolio,Jaguar,2016,2800000.0,8500.0,Petrol
349,Eon Magna Plus,Hyundai,2014,190000.0,35000.0,Petrol
350,City 1.5 S MT,Honda,2014,499000.0,22000.0,Petrol
351,Suzuki Ritz GENUS VXI,Maruti,2010,149000.0,40000.0,Petrol
352,Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000.0,20000.0,Petrol
353,Eon D Lite Plus,Hyundai,2016,120000.0,87000.0,Petrol
354,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000.0,55000.0,Petrol
355,Suzuki Wagon R VXI BS IV,Maruti,2017,375000.0,23000.0,Petrol
356,Amaze 1.2 VX i VTEC,Honda,2014,381000.0,6000.0,Petrol
357,Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000.0,65000.0,Petrol
358,Suzuki Vitara Brezza LDi O,Maruti,2016,580000.0,25000.0,Diesel
359,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000.0,39000.0,Petrol
360,Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000.0,8000.0,Petrol
361,Scorpio Vlx BSIV,Mahindra,2013,690000.0,75000.0,Diesel
362,Suzuki Ertiga VDi,Maruti,2012,480000.0,51000.0,Diesel
363,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000.0,53000.0,Petrol
364,Eon D Lite Plus,Hyundai,2018,260000.0,25000.0,Petrol
365,Fiesta SXi 1.6 ABS,Ford,2009,250000.0,56400.0,Petrol
366,Suzuki Ritz VDi,Maruti,2010,180000.0,72160.0,Diesel
367,Verna Fluidic New,Hyundai,2012,350000.0,10000.0,Diesel
